_id,stateName,districts[0].code,districts[1].code,districts[2].code,districts[3].code,districts[4].code,districts[5].code,districts[6].code,districts[7].code,districts[8].code,districts[9].code,districts[10].code,districts[11].code,districts[12].code,districts[13].code,districts[14].code,districts[15].code,districts[16].code,districts[17].code,districts[18].code,districts[19].code,districts[20].code,districts[21].code,districts[22].code,districts[23].code,districts[24].code,districts[25].code,districts[26].code,districts[27].code,districts[28].code,districts[29].code,districts[30].code,districts[31].code,districts[32].code,districts[33].code,districts[34].code,districts[35].code,districts[36].code,districts[37].code,districts[38].code,districts[39].code,districts[40].code,districts[41].code,districts[42].code,districts[43].code,districts[44].code,districts[45].code,districts[46].code,districts[47].code,districts[48].code,districts[49].code,districts[50].code,districts[51].code,districts[52].code,districts[53].code,districts[54].code,districts[55].code,districts[56].code,districts[57].code,districts[58].code,districts[59].code,districts[60].code,districts[61].code,districts[62].code,districts[63].code,districts[64].code,districts[65].code,districts[66].code,districts[67].code,districts[68].code,districts[69].code,districts[70].code,districts[71].code,districts[72].code,districts[73].code,districts[74].code,districts[0].name,districts[1].name,districts[2].name,districts[3].name,districts[4].name,districts[5].name,districts[6].name,districts[7].name,districts[8].name,districts[9].name,districts[10].name,districts[11].name,districts[12].name,districts[13].name,districts[14].name,districts[15].name,districts[16].name,districts[17].name,districts[18].name,districts[19].name,districts[20].name,districts[21].name,districts[22].name,districts[23].name,districts[24].name,districts[25].name,districts[26].name,districts[27].name,districts[28].name,districts[29].name,districts[30].name,districts[31].name,districts[32].name,districts[33].name,districts[34].name,districts[35].name,districts[36].name,districts[37].name,districts[38].name,districts[39].name,districts[40].name,districts[41].name,districts[42].name,districts[43].name,districts[44].name,districts[45].name,districts[46].name,districts[47].name,districts[48].name,districts[49].name,districts[50].name,districts[51].name,districts[52].name,districts[53].name,districts[54].name,districts[55].name,districts[56].name,districts[57].name,districts[58].name,districts[59].name,districts[60].name,districts[61].name,districts[62].name,districts[63].name,districts[64].name,districts[65].name,districts[66].name,districts[67].name,districts[68].name,districts[69].name,districts[70].name,districts[71].name,districts[72].name,districts[73].name,districts[74].name,_class
1,Jammu And Kashmir,1,623,3,2,4,626,5,7,620,622,8,10,11,12,621,627,624,625,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anantnag,Bandipora,Baramulla,Budgam,Doda,Ganderbal,Jammu,Kathua,Kishtwar,Kulgam,Kupwara,Poonch,Pulwama,Rajouri,Ramban,Reasi,Samba,Shopian,Srinagar,Udhampur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
10,Bihar,188,611,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Araria,Arwal,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Jehanabad,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purbi Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
11,Sikkim,225,228,226,227,741,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gangtok,Gyalshing,Mangan,Namchi,Pakyong,Soreng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
12,Arunachal Pradesh,628,229,230,231,232,718,677,233,724,234,666,235,719,236,678,723,237,725,679,238,239,240,241,242,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anjaw,Changlang,Dibang Valley,East Kameng,East Siang,Kamle,Kra Daadi,Kurung Kumey,Leparada,Lohit,Longding,Lower Dibang Valley,Lower Siang,Lower Subansiri,Namsai,Pakke Kessang,Papum Pare,Shi Yomi,Siang,Tawang,Tirap,Upper Siang,Upper Subansiri,West Kameng,West Siang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
13,Nagaland,758,244,614,245,615,246,247,764,736,613,248,765,757,249,250,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chumoukedima,Dimapur,Kiphire,Kohima,Longleng,Mokokchung,Mon,Niuland,Noklak,Peren,Phek,Shamator,Tseminyu,Tuensang,Wokha,Zunheboto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
14,Manipur,252,253,254,255,256,713,711,717,712,714,715,257,258,716,259,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishnupur,Chandel,Churachandpur,Imphal East,Imphal West,Jiribam,Kakching,Kamjong,Kangpokpi,Noney,Pherzawl,Senapati,Tamenglong,Tengnoupal,Thoubal,Ukhrul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
15,Mizoram,261,262,726,728,263,264,265,266,727,268,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aizawl,Champhai,Hnahthial,Khawzawl,Kolasib,Lawngtlai,Lunglei,Mamit,Saitual,Serchhip,Siaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
16,Tripura,269,654,652,270,653,271,655,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhalai,Gomati,Khowai,North Tripura,Sepahijala,South Tripura,Unakoti,West Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
17,Meghalaya,273,657,274,740,656,276,277,663,658,278,275,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Garo Hills,East Jaintia Hills,East Khasi Hills,Eastern West Khasi Hills,North Garo Hills,Ri Bhoi,South Garo Hills,South West Garo Hills,South West Khasi Hills,West Garo Hills,West Jaintia Hills,West Khasi Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
18,Assam,739,616,280,705,281,282,708,612,283,284,285,286,299,287,288,289,709,290,291,618,292,293,294,295,706,296,297,298,300,301,707,756,302,617,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bajali,Baksa,Barpeta,Biswanath,Bongaigaon,Cachar,Charaideo,Chirang,Darrang,Dhemaji,Dhubri,Dibrugarh,Dima Hasao,Goalpara,Golaghat,Hailakandi,Hojai,Jorhat,Kamrup,Kamrup Metro,Karbi Anglong,Karimganj,Kokrajhar,Lakhimpur,Majuli,Marigaon,Nagaon,Nalbari,Sivasagar,Sonitpur,South Salmara Mancachar,Tamulpur,Tinsukia,Udalguri,West Karbi Anglong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.thirdai.common.model.StatesCustomModel
